{9c23a194-d618-40ae-909c-5a07f07706b6} event:/KoseiHelper/goomba
{6edb5ee9-6ed2-4d95-b7f9-d58746f7b214} event:/KoseiHelper/mary
{5378b6db-9e8a-4ac4-87de-5760cfc1f59e} event:/KoseiHelper/spawn
{e716e9bd-5d80-4c21-87c1-68c34b0461cf} event:/KoseiHelper/nwaps
{15ad16dd-88a5-422b-8a52-678fecbe9a28} event:/KoseiHelper/crackedwall_prebreak
{182cf9dc-0163-4f46-836f-602378231718} event:/KoseiHelper/bullet
{8ffb32e6-512f-41a9-a2c6-dbea0ac2765c} event:/KoseiHelper/bulletB
{295daa22-30f0-4153-bbe2-04e9e3ee8e04} event:/KoseiHelper/brickBreak
{9219af63-8873-48da-ac55-d41d50b25f0c} event:/KoseiHelper/brickBump
{04c6f318-6fa0-4583-87be-70528b48a079} event:/KoseiHelper/fallingPlatform
{600cf596-96ec-43e9-9afb-4d4e1b8cf021} event:/KoseiHelper/laugh_oneho
{6ca0e496-373b-4b76-a240-4448b532ab37} event:/KoseiHelper/Guns/shotDefault
{ba8e885e-d7ef-474b-9ea8-20ba14e4943e} bank:/KoseiHelper
